Protein Name,Protein ChEMBL ID,Molecule ChEMBL ID,Standard Type,Standard Value,Standard Units,SMILES
Phosphodiesterase 5A,CHEMBL1827,CHEMBL285737,IC50,3.6,nM,CCNC(=O)CCN1CC[C@@H](N2CC(=O)N3[C@H](c4ccc5c(c4)OCO5)c4[nH]c5ccccc5c4C[C@@H]3C2=O)C1
Phosphodiesterase 5A,CHEMBL1827,CHEMBL34276,IC50,2.7,nM,COc1ccc([C@@H]2c3[nH]c4ccccc4c3C[C@@H]3C(=O)N([C@@H]4CCN(Cc5ccccc5)C4)CC(=O)N23)cc1
Phosphodiesterase 5A,CHEMBL1827,CHEMBL282515,IC50,0.8,nM,Cn1ccnc1CCN1CC[C@@H](N2CC(=O)N3[C@H](c4ccc5c(c4)OCO5)c4[nH]c5ccccc5c4C[C@@H]3C2=O)C1
Phosphodiesterase 5A,CHEMBL1827,CHEMBL284070,IC50,1.5,nM,O=C1[C@H]2Cc3c([nH]c4ccccc34)[C@@H](c3ccc4c(c3)OCO4)N2C(=O)CN1[C@@H]1CCN(CCc2ccccn2)C1
Phosphodiesterase 5A,CHEMBL1827,CHEMBL34628,IC50,4.0,nM,C=CCCN1CC[C@@H](N2CC(=O)N3[C@H](c4ccc5c(c4)OCO5)c4[nH]c5ccccc5c4C[C@@H]3C2=O)C1
Phosphodiesterase 5A,CHEMBL1827,CHEMBL33627,IC50,2.5,nM,CN(C)C(=O)CCN1CC[C@@H](N2CC(=O)N3[C@H](c4ccc5c(c4)OCO5)c4[nH]c5ccccc5c4C[C@@H]3C2=O)C1
Phosphodiesterase 5A,CHEMBL1827,CHEMBL33121,IC50,2.0,nM,O=C1[C@H]2Cc3c([nH]c4ccccc34)[C@@H](c3ccc4c(c3)OCO4)N2C(=O)CN1[C@@H]1CCN(CCc2cnccn2)C1
Phosphodiesterase 5A,CHEMBL1827,CHEMBL322272,IC50,1.2,nM,CCn1c(=O)c2c(nc(NC3CCCCC3)n2Cc2cccc(O)c2)n(CC)c1=O
Phosphodiesterase 5A,CHEMBL1827,CHEMBL541830,IC50,2.0,nM,COc1ccc(CNc2nnc(N3CCC(O)CC3)c3ccc(C(N)=O)cc23)cc1Cl.Cl
Phosphodiesterase 5A,CHEMBL1827,CHEMBL553075,IC50,0.53,nM,COc1ccc(CNc2nnc(N3CCC(=O)CC3)c3ccc(C#N)cc23)cc1Cl.Cl
Phosphodiesterase 5A,CHEMBL1827,CHEMBL321764,IC50,3.7,nM,CCn1c(=O)c2c(nc(NC3CCCCC3)n2Cc2ccc3c(c2)OCO3)n(CC)c1=O
Phosphodiesterase 5A,CHEMBL1827,CHEMBL557200,IC50,0.86,nM,COc1ccc(CNc2nnc(N3CCC(O)CC3)c3cc(Cl)c(Cl)cc23)cc1Cl.Cl
Phosphodiesterase 5A,CHEMBL1827,CHEMBL106447,IC50,1.8,nM,CCn1c(=O)c2c(nc(NC3CCCC3)n2Cc2ccc(O)c(Cl)c2)n(CC)c1=O
Phosphodiesterase 5A,CHEMBL1827,CHEMBL544548,IC50,1.2,nM,COc1ccc(CNc2nnc(N3CCCC(O)C3)c3ccc(C#N)cc23)cc1Cl.Cl
Phosphodiesterase 5A,CHEMBL1827,CHEMBL544305,IC50,0.5,nM,COc1ccc(CNc2nnc(N3CCC(C(N)=O)CC3)c3ccc(C#N)cc23)cc1Cl.Cl
Phosphodiesterase 5A,CHEMBL1827,CHEMBL1737,IC50,2.2,nM,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC)nc12.O=C(O)CC(O)(CC(=O)O)C(=O)O
Phosphodiesterase 5A,CHEMBL1827,CHEMBL110595,IC50,1.1,nM,CCn1c(=O)c2c(nc(NC3CCCC3)n2Cc2ccc(OC)c(Cl)c2)n(CC)c1=O
Phosphodiesterase 5A,CHEMBL1827,CHEMBL554459,IC50,3.1,nM,COc1ccc(CNc2nnc(N3CCC(C(=O)O)CC3)c3ccc(C#N)cc23)cc1Cl.Cl
Phosphodiesterase 5A,CHEMBL1827,CHEMBL325323,IC50,1.7,nM,CCn1c(=O)c2c(nc(NC3CCCCC3)n2Cc2ccc(OC)c(Br)c2)n(CC)c1=O
Phosphodiesterase 5A,CHEMBL1827,CHEMBL545472,IC50,0.32,nM,COc1ccc(CNc2nnc(N3CCSCC3)c3ccc(C#N)cc23)cc1Cl.Cl
Phosphodiesterase 5A,CHEMBL1827,CHEMBL553960,IC50,0.55,nM,COc1ccc(CNc2nnc(N3CCCCC3)c3ccc(C#N)cc23)cc1Cl.Cl
Phosphodiesterase 5A,CHEMBL1827,CHEMBL554047,IC50,1.23,nM,COc1ccc(CNc2nnc(N3CCNCC3)c3ccc(C#N)cc23)cc1Cl.Cl
Phosphodiesterase 5A,CHEMBL1827,CHEMBL543130,IC50,1.1,nM,COc1ccc(CNc2nnc(N3CCC(OC)CC3)c3ccc(C#N)cc23)cc1Cl.Cl
Phosphodiesterase 5A,CHEMBL1827,CHEMBL553076,IC50,1.9,nM,COc1ccc(CNc2nnc(N3CC=CCC3)c3ccc(C#N)cc23)cc1Cl.Cl
Phosphodiesterase 5A,CHEMBL1827,CHEMBL25616,IC50,3.7,nM,O=C([O-])C1CCN(c2nc(NCc3ccc4c(c3)OCO4)c3cc(Cl)ccc3n2)CC1.[Na+]
Phosphodiesterase 5A,CHEMBL1827,CHEMBL545243,IC50,0.73,nM,COc1ccc(CNc2nnc(N3CCC(O)CC3)c3ccc(C(F)(F)F)cc23)cc1Cl.Cl
Phosphodiesterase 5A,CHEMBL1827,CHEMBL325777,IC50,2.1,nM,CCn1c(=O)c2c(nc(NC3CCCC3)n2Cc2ccc(OC)cc2)n(CC)c1=O
Phosphodiesterase 5A,CHEMBL1827,CHEMBL542166,IC50,0.3,nM,COc1ccc(CNc2nnc(N3CCC(O)CC3)c3ccc([N+](=O)[O-])cc23)cc1Cl.Cl
Phosphodiesterase 5A,CHEMBL1827,CHEMBL106480,IC50,1.5,nM,CCn1c(=O)c2c(nc(NC3CCCC3)n2Cc2ccc(O)cc2)n(CC)c1=O
Phosphodiesterase 5A,CHEMBL1827,CHEMBL545012,IC50,0.7,nM,COc1ccc(CNc2nnc(N3CC[S+]([O-])CC3)c3ccc(C#N)cc23)cc1Cl.Cl
Phosphodiesterase 5A,CHEMBL1827,CHEMBL539789,IC50,4.4,nM,COc1ccc(CNc2nnc(N3CCC(O)CC3)c3ccc(Cl)cc23)cc1Cl.Cl
Phosphodiesterase 5A,CHEMBL1827,CHEMBL324645,IC50,0.82,nM,CCn1c(=O)c2c(nc(NC3CCCC3)n2Cc2ccc(O)c(F)c2)n(CC)c1=O
Phosphodiesterase 5A,CHEMBL1827,CHEMBL545712,IC50,0.56,nM,COc1ccc(CNc2nnc(N3CCC(O)CC3)c3ccc(C#N)cc23)cc1Cl.Cl
Phosphodiesterase 5A,CHEMBL1827,CHEMBL545242,IC50,3.0,nM,COc1ccc(CNc2nnc(Cl)c3ccc(C#N)cc23)cc1Cl.Cl
Phosphodiesterase 5A,CHEMBL1827,CHEMBL316819,IC50,2.6,nM,CCn1c(=O)c2c(nc(NC3CCCCC3)n2Cc2ccc(OC)cc2)n(CC)c1=O
Phosphodiesterase 5A,CHEMBL1827,CHEMBL106180,IC50,0.58,nM,CCn1c(=O)c2c(nc(NC3CCCCC3)n2Cc2ccc(OC)c(Cl)c2)n(CC)c1=O
Phosphodiesterase 5A,CHEMBL1827,CHEMBL545715,IC50,0.7,nM,COc1ccc(CNc2nnc(N3CCC(CCO)CC3)c3ccc(C#N)cc23)cc1Cl.Cl
Phosphodiesterase 5A,CHEMBL1827,CHEMBL542418,IC50,0.7,nM,COc1ccc(CNc2nnc(N3CCC(C)(O)CC3)c3ccc(C#N)cc23)cc1Cl.Cl
Phosphodiesterase 5A,CHEMBL1827,CHEMBL544310,IC50,2.7,nM,COc1ccc(CNc2nnc(NCc3ccccn3)c3ccc(C#N)cc23)cc1Cl.Cl
Phosphodiesterase 5A,CHEMBL1827,CHEMBL553348,IC50,0.93,nM,COc1ccc(CNc2nnc(N3CCC(CO)CC3)c3ccc(C#N)cc23)cc1Cl.Cl
Phosphodiesterase 5A,CHEMBL1827,CHEMBL545476,IC50,1.5,nM,COc1ccc(CNc2nnc(-n3ccnc3)c3ccc(C#N)cc23)cc1Cl.Cl
Phosphodiesterase 5A,CHEMBL1827,CHEMBL540044,IC50,1.7,nM,COc1ccc(CNc2nnc(N3CCN(CCO)CC3)c3ccc(C#N)cc23)cc1Cl.Cl
Phosphodiesterase 5A,CHEMBL1827,CHEMBL108491,IC50,0.33,nM,CCn1c(=O)c2c(nc(NC3CCCCC3)n2Cc2ccc(O)c(F)c2)n(CC)c1=O
Phosphodiesterase 5A,CHEMBL1827,CHEMBL323473,IC50,2.0,nM,CCn1c(=O)c2c(nc(NC3CCCCC3)n2Cc2ccc(O)c(Cl)c2)n(CC)c1=O
Phosphodiesterase 5A,CHEMBL1827,CHEMBL556618,IC50,2.6,nM,COc1ccc(CNc2nnc(NCCCO)c3ccc(C#N)cc23)cc1Cl.Cl
Phosphodiesterase 5A,CHEMBL1827,CHEMBL192,IC50,3.5,nM,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC)nc12
Phosphodiesterase 5A,CHEMBL1827,CHEMBL106153,IC50,4.5,nM,CCn1c(=O)c2c(nc(NC3CCCCC3)n2Cc2ccc(O)c(C)c2)n(CC)c1=O
Phosphodiesterase 5A,CHEMBL1827,CHEMBL107156,IC50,0.6,nM,CCn1c(=O)c2c(nc(NC3CCCCC3)n2Cc2ccc(O)cc2)n(CC)c1=O
Phosphodiesterase 5A,CHEMBL1827,CHEMBL107349,IC50,0.3,nM,CCn1c(=O)c2c(nc(NC3CCCCC3)n2Cc2ccc(OC)c(F)c2)n(CC)c1=O
Phosphodiesterase 5A,CHEMBL1827,CHEMBL108844,IC50,0.69,nM,CCn1c(=O)c2c(nc(NC3CCCC3)n2Cc2ccc(OC)c(F)c2)n(CC)c1=O
Phosphodiesterase 5A,CHEMBL1827,CHEMBL542663,IC50,0.79,nM,COc1ccc(CNc2nnc(N3CCS(=O)(=O)CC3)c3ccc(C#N)cc23)cc1Cl.Cl
Phosphodiesterase 5A,CHEMBL1827,CHEMBL555168,IC50,0.95,nM,COc1ccc(CNc2nnc(N3CCN(C)CC3)c3ccc(C#N)cc23)cc1Cl.Cl
Phosphodiesterase 5A,CHEMBL1827,CHEMBL192,IC50,1.6,nM,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC)nc12
Phosphodiesterase 5A,CHEMBL1827,CHEMBL289047,IC50,0.48,nM,COc1ccc(CNc2c(CO)cnc3ccc(C#N)cc23)cc1Cl
Phosphodiesterase 5A,CHEMBL1827,CHEMBL545518,IC50,2.3,nM,Brc1ccc2nc(-n3ccnc3)nc(NCc3ccccc3)c2c1.Cl.Cl
Phosphodiesterase 5A,CHEMBL1827,CHEMBL291127,IC50,0.4,nM,CCc1cc(C#N)cc2c(NCc3ccc(OC)c(Cl)c3)ccnc12
Phosphodiesterase 5A,CHEMBL1827,CHEMBL557022,IC50,2.6,nM,Cl.Cl.O=[N+]([O-])c1ccc2nc(-n3ccnc3)nc(NCc3ccccc3)c2c1
Phosphodiesterase 5A,CHEMBL1827,CHEMBL539033,IC50,0.53,nM,C#Cc1ccc2nc(-n3ccnc3)nc(NCc3ccccc3)c2c1.Cl
Phosphodiesterase 5A,CHEMBL1827,CHEMBL40371,IC50,4.0,nM,CCOC(=O)c1cnc2ccc(C#N)cc2c1NCc1ccc(OC)c(Cl)c1
Phosphodiesterase 5A,CHEMBL1827,CHEMBL38735,IC50,0.05,nM,CCc1cc(C#N)cc2c(NCc3ccc(OC)c(Cl)c3)c(CO)cnc12
Phosphodiesterase 5A,CHEMBL1827,CHEMBL41236,IC50,1.4,nM,COc1ccc(CNc2ccnc3ccc(C#N)cc23)cc1Cl
Phosphodiesterase 5A,CHEMBL1827,CHEMBL39065,IC50,0.55,nM,CCc1cc(C#N)cc2c(NCc3ccc(OC)c(Cl)c3)c(C(=O)NCc3ccccn3)cnc12
Phosphodiesterase 5A,CHEMBL1827,CHEMBL539806,IC50,2.8,nM,Cl.Cl.Clc1ccc2nc(-n3ccnc3)nc(NCc3ccccc3)c2c1
Phosphodiesterase 5A,CHEMBL1827,CHEMBL442348,IC50,1.3,nM,COc1ccc(CNc2c(C(=O)NCc3ccccn3)cnc3ccc(C#N)cc23)cc1Cl
Phosphodiesterase 5A,CHEMBL1827,CHEMBL41083,IC50,0.6,nM,CCOC(=O)c1cnc2c(CC)cc(C#N)cc2c1NCc1ccc(OC)c(Cl)c1
Phosphodiesterase 5A,CHEMBL1827,CHEMBL779,IC50,1.3,nM,CN1CC(=O)N2[C@H](c3ccc4c(c3)OCO4)c3[nH]c4ccccc4c3C[C@@H]2C1=O
Phosphodiesterase 5A,CHEMBL1827,CHEMBL344018,IC50,0.1,nM,CCn1ncc2c3c(NCc4ccc(OC)c(Cl)c4)nnc(NCc4ccncc4)c3cnc21
Phosphodiesterase 5A,CHEMBL1827,CHEMBL140520,IC50,0.7,nM,CCn1ncc2c3c(NCc4ccc(OC)c(Cl)c4)nnc(N4CCC(O)CC4)c3cnc21
Phosphodiesterase 5A,CHEMBL1827,CHEMBL139998,IC50,0.3,nM,CCn1ncc2c3c(NCc4ccc(OC)c(Cl)c4)nnc(-n4cnc(C(=O)NC)c4)c3cnc21
Phosphodiesterase 5A,CHEMBL1827,CHEMBL410215,IC50,0.03,nM,CCn1ncc2c3c(NCc4ccc(OC)c(Cl)c4)nnc(N4CCC(C(=O)O)CC4)c3cnc21
Phosphodiesterase 5A,CHEMBL1827,CHEMBL7868,IC50,0.8,nM,CCn1ncc2c(NCc3ccc(OC)c(Cl)c3)c(C(=O)NCc3ccncc3)cnc21
Phosphodiesterase 5A,CHEMBL1827,CHEMBL1520,IC50,0.7,nM,CCCc1nc(C)c2c(=O)nc(-c3cc(S(=O)(=O)N4CCN(CC)CC4)ccc3OCC)[nH]n12
Phosphodiesterase 5A,CHEMBL1827,CHEMBL192,IC50,1.6,nM,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC)nc12
Phosphodiesterase 5A,CHEMBL1827,CHEMBL266960,IC50,0.6,nM,COc1ccc(CNc2nnc(N3CCC(O)CC3)c3ccc(C#N)cc23)cc1Cl
Phosphodiesterase 5A,CHEMBL1827,CHEMBL26229,IC50,2.1,nM,CCN1C(=O)c2c(nc(OCc3ccccc3)n2Cc2ccc(O)c(Cl)c2)N2C[C@@H](Cc3ccccc3)N=C12
Phosphodiesterase 5A,CHEMBL1827,CHEMBL282189,IC50,1.8,nM,CCSc1nc2c(n1Cc1ccc(O)cc1)C(=O)N(CC)C1=N[C@@H]3CCC[C@@H]3N12
Phosphodiesterase 5A,CHEMBL1827,CHEMBL432657,IC50,1.5,nM,CCN1C(=O)c2c(nc(C(N)=O)n2Cc2ccc(OC)c(Br)c2)N2C1=N[C@@H]1CCC[C@@H]12
Phosphodiesterase 5A,CHEMBL1827,CHEMBL278354,IC50,0.48,nM,CCCOc1ccc(C(N)=O)cc1-c1nc(O)c2cc3c(cc2n1)ncn3Cc1ccc(F)cc1
Phosphodiesterase 5A,CHEMBL1827,CHEMBL283562,IC50,4.5,nM,CCN1C(=O)c2[nH]c(Cc3ccccc3)nc2N2C[C@@H](Cc3ccccc3)N=C12
Phosphodiesterase 5A,CHEMBL1827,CHEMBL356968,IC50,1.4,nM,CCCOc1ccc(S(=O)(=O)N2CCN(CC)CC2)cc1-c1nc(O)c2cc3c(cc2n1)ncn3Cc1cccc(F)c1
Phosphodiesterase 5A,CHEMBL1827,CHEMBL2112876,IC50,0.2,nM,CCCOc1ccc(S(=O)(=O)N2CC[C@@H](N(C)C)C2)cc1-c1nc2cc3ncn(Cc4ccc(F)cc4)c3cc2c(=O)[nH]1
Phosphodiesterase 5A,CHEMBL1827,CHEMBL25419,IC50,2.8,nM,CCN1C(=O)c2c(nc(C(N)=O)n2Cc2ccc(OC)c(Cl)c2)N2C[C@@H](Cc3ccccc3)N=C12
Phosphodiesterase 5A,CHEMBL1827,CHEMBL286723,IC50,0.9,nM,CCN1C(=O)c2c(nc(C(N)=O)n2Cc2ccc(O)c(Br)c2)N2C1=N[C@@H]1CCC[C@@H]12
Phosphodiesterase 5A,CHEMBL1827,CHEMBL24587,IC50,3.0,nM,CCN1C(=O)c2c(nc(C(N)=O)n2Cc2ccc(O)c(Cl)c2)N2C[C@@H](Cc3ccccc3)N=C12
Phosphodiesterase 5A,CHEMBL1827,CHEMBL192,IC50,1.6,nM,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC)nc12
Phosphodiesterase 5A,CHEMBL1827,CHEMBL2112009,IC50,1.1,nM,CCCOc1ccc(S(=O)(=O)N2CC[C@@H](N(C)C)C2)cc1-c1nc(O)c2cc3c(cc2n1)ncn3Cc1ccccc1
Phosphodiesterase 5A,CHEMBL1827,CHEMBL149536,IC50,3.2,nM,CCCOc1ccc(S(N)(=O)=O)cc1-c1nc(O)c2cc3c(cc2n1)ncn3Cc1ccc(F)cc1
Phosphodiesterase 5A,CHEMBL1827,CHEMBL280525,IC50,0.9,nM,CCOc1nc2c(n1Cc1ccc(O)cc1)C(=O)N(CC)C1=N[C@@H]3CCC[C@@H]3N12
Phosphodiesterase 5A,CHEMBL1827,CHEMBL177716,IC50,4.0,nM,CCN1C(=O)c2c(nc(C(N)=O)n2Cc2ccc(OC)cc2)N2C1=N[C@@H]1CCC[C@@H]12
Phosphodiesterase 5A,CHEMBL1827,CHEMBL342527,IC50,3.3,nM,CCCOc1ccc(S(=O)(=O)N2CCN(C)CC2)cc1-c1nc(O)c2cc3c(cc2n1)ncn3Cc1ccc(F)cc1
Phosphodiesterase 5A,CHEMBL1827,CHEMBL24536,IC50,3.1,nM,CCN1C(=O)c2c(nc(C#Cc3ccccc3)n2Cc2ccc(OC)cc2)N2C1=N[C@@H]1CCC[C@@H]12
Phosphodiesterase 5A,CHEMBL1827,CHEMBL23123,IC50,1.6,nM,CCN1C(=O)c2c(nc(OC)n2Cc2ccc(OC)c(Cl)c2)N2C[C@@H](Cc3ccccc3)N=C12
Phosphodiesterase 5A,CHEMBL1827,CHEMBL283122,IC50,5.3,nM,CCCOc1ccc(S(=O)(=O)N2CCN(C)CC2)cc1-c1nc(O)c2cc3c(cc2n1)ncn3Cc1ccccc1
Phosphodiesterase 5A,CHEMBL1827,CHEMBL23572,IC50,1.9,nM,CCN1C(=O)c2c(nc(OC)n2Cc2ccc(O)c(Cl)c2)N2C[C@@H](Cc3ccccc3)N=C12
Phosphodiesterase 5A,CHEMBL1827,CHEMBL26396,IC50,0.3,nM,CCN1C(=O)c2c(nc(C#Cc3ccccc3)n2Cc2ccc(O)cc2)N2C1=N[C@@H]1CCC[C@@H]12
Phosphodiesterase 5A,CHEMBL1827,CHEMBL23375,IC50,1.3,nM,CCN1C(=O)c2c(nc(C(=O)NC)n2Cc2ccc(O)c(Cl)c2)N2C1=N[C@@H]1CCC[C@@H]12
Phosphodiesterase 5A,CHEMBL1827,CHEMBL282114,IC50,1.6,nM,CCN1C(=O)c2c(nc(OC)n2Cc2ccc(O)c(Br)c2)N2C1=N[C@@H]1CCC[C@@H]12
Phosphodiesterase 5A,CHEMBL1827,CHEMBL24543,IC50,2.1,nM,CCOc1nc2c(n1Cc1ccc(O)c(Cl)c1)C(=O)N(CC)C1=N[C@@H]3CCC[C@@H]3N12
Phosphodiesterase 5A,CHEMBL1827,CHEMBL25311,IC50,5.0,nM,CCN1C(=O)c2c(nc(OC)n2Cc2ccc(OC)c(Cl)c2)N2C1=N[C@@H]1CCC[C@@H]12
Phosphodiesterase 5A,CHEMBL1827,CHEMBL192,IC50,3.5,nM,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC)nc12
Phosphodiesterase 5A,CHEMBL1827,CHEMBL441223,IC50,5.4,nM,CCOc1nc2c(n1Cc1ccc(OC)c(Br)c1)C(=O)N(CC)C1=N[C@@H]3CCC[C@@H]3N12
Phosphodiesterase 5A,CHEMBL1827,CHEMBL436460,IC50,1.7,nM,CCCOc1ccc(S(=O)(=O)N2CCN(CC)CC2)cc1-c1nc(O)c2cc3c(cc2n1)ncn3Cc1ccc(F)cc1
Phosphodiesterase 5A,CHEMBL1827,CHEMBL279903,IC50,2.2,nM,CCN1C(=O)c2c(nc(OC)n2Cc2ccc(OC)c(Br)c2)N2C[C@@H](Cc3ccccc3)N=C12
Phosphodiesterase 5A,CHEMBL1827,CHEMBL356775,IC50,1.1,nM,CCCOc1ccc(S(=O)(=O)N2CCN(CC)CC2)cc1-c1nc(O)c2cc3c(cc2n1)ncn3Cc1cccc(OC)c1
Phosphodiesterase 5A,CHEMBL1827,CHEMBL285610,IC50,1.1,nM,CCN1C(=O)c2c(nc(C(N)=O)n2Cc2ccc(O)c(Cl)c2)N2C1=N[C@@H]1CCC[C@@H]12
Phosphodiesterase 5A,CHEMBL1827,CHEMBL148193,IC50,0.62,nM,CCCOc1ccc(S(=O)(=O)N2CCN(CC)CC2)cc1-c1nc(O)c2cc3c(cc2n1)ncn3Cc1ccccc1OC
Phosphodiesterase 5A,CHEMBL1827,CHEMBL2112881,IC50,0.52,nM,CCCOc1ccc(S(=O)(=O)N2CC[C@@H](N(C)C)C2)cc1-c1nc(O)c2cc3c(cc2n1)ncn3Cc1ccc(Cl)cc1
Phosphodiesterase 5A,CHEMBL1827,CHEMBL280624,IC50,2.1,nM,CCN1C(=O)c2c(nc(C(N)=O)n2Cc2ccc(O)cc2)N2C1=N[C@@H]1CCC[C@@H]12
Phosphodiesterase 5A,CHEMBL1827,CHEMBL23308,IC50,1.3,nM,CCN1C(=O)c2c(nc(OC)n2Cc2ccc(O)c(Br)c2)N2C[C@@H](Cc3ccccc3)N=C12
Phosphodiesterase 5A,CHEMBL1827,CHEMBL282709,IC50,0.61,nM,CCN1C(=O)c2c(nc(N=[N+]=[N-])n2Cc2ccc(O)cc2)N2C1=N[C@@H]1CCC[C@@H]12
Phosphodiesterase 5A,CHEMBL1827,CHEMBL23992,IC50,3.9,nM,CCN1C(=O)c2c(nc(Cc3ccccc3)n2Cc2ccc(O)cc2)N2C1=N[C@@H]1CCC[C@@H]12
Phosphodiesterase 5A,CHEMBL1827,CHEMBL26102,IC50,2.3,nM,CCN1C(=O)c2c(nc(C(=O)NC)n2Cc2ccc(OC)c(Cl)c2)N2C1=N[C@@H]1CCC[C@@H]12
Phosphodiesterase 5A,CHEMBL1827,CHEMBL26775,IC50,2.8,nM,CCN1C(=O)c2c(nc(OC)n2Cc2ccc(OC)c(Br)c2)N2C1=N[C@@H]1CCC[C@@H]12
Phosphodiesterase 5A,CHEMBL1827,CHEMBL24653,IC50,5.0,nM,CCN1C(=O)c2c(nc(C#Cc3ccccc3)n2Cc2ccc(Cl)cc2)N2C1=N[C@@H]1CCC[C@@H]12
Phosphodiesterase 5A,CHEMBL1827,CHEMBL24815,IC50,2.0,nM,CCN1C(=O)c2c(nc(OC)n2Cc2ccc(O)c(Cl)c2)N2C1=N[C@@H]1CCC[C@@H]12
Phosphodiesterase 5A,CHEMBL1827,CHEMBL146373,IC50,1.6,nM,CCCOc1ccc(S(=O)(=O)N2CCN(CC)CC2)cc1-c1nc(O)c2cc3c(cc2n1)ncn3Cc1ccccc1Cl
Phosphodiesterase 5A,CHEMBL1827,CHEMBL227489,IC50,1.1,nM,CCCOc1ccc(S(=O)(=O)N2CCN(CC)CC2)cc1-c1nc(O)c2cc3c(cc2n1)ncn3Cc1ccccc1
Phosphodiesterase 5A,CHEMBL1827,CHEMBL192,IC50,3.6,nM,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC)nc12
Phosphodiesterase 5A,CHEMBL1827,CHEMBL192,IC50,3.0,nM,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC)nc12
Phosphodiesterase 5A,CHEMBL1827,CHEMBL444046,IC50,2.1,nM,CCCc1nn(C)c2c(O)nc(-c3cc(S(=O)(=O)N4CCN(C(N)=O)CC4)ccc3OCC)nc12
Phosphodiesterase 5A,CHEMBL1827,CHEMBL910,IC50,5.7,nM,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCNCC4)ccc3OCC)nc12
